"","UF","ESTRATO_POF","TIPO_SITUACAO_REG","COD_UPA","NUM_DOM","NUM_UC","COD_INFORMANTE","QUADRO","SEQ","V9001","V9013","PESO","PESO_FINAL","RENDA_TOTAL"
"19314",27,2704,1,270003205,12,1,3,42,3,4200401,1,477.42011472,664.95553832,3464.79
"19315",27,2704,1,270003205,12,1,4,42,1,4200201,1,477.42011472,664.95553832,3464.79
"19316",27,2704,1,270003205,12,1,4,42,3,4200401,1,477.42011472,664.95553832,3464.79
"19317",27,2704,1,270003205,13,1,1,42,1,4200201,1,477.42011472,664.95553832,2023.47
"19318",27,2704,1,270003205,13,1,1,42,3,4200401,1,477.42011472,664.95553832,2023.47
"19319",27,2704,1,270019098,3,1,1,42,1,4200201,1,394.109319,548.91942399,3302.84
"19320",27,2704,1,270019098,3,1,2,29,1,2900201,1,394.109319,548.91942399,3302.84
"19321",27,2704,1,270019098,3,1,2,42,1,4200201,1,394.109319,548.91942399,3302.84
"19322",27,2704,1,270019098,3,1,2,42,3,4200401,1,394.109319,548.91942399,3302.84
"19323",27,2704,1,270019098,3,1,2,42,4,4200501,1,394.109319,548.91942399,3302.84
"19324",27,2704,1,270019098,3,1,3,42,1,4200201,1,394.109319,548.91942399,3302.84
"19325",27,2704,1,270019098,3,1,5,42,1,4200201,1,394.109319,548.91942399,3302.84
"19326",27,2704,1,270019098,3,1,5,42,3,4200401,1,394.109319,548.91942399,3302.84
"19327",27,2704,1,270019098,3,1,6,42,1,4200201,1,394.109319,548.91942399,3302.84
"19328",27,2704,1,270019098,3,1,6,42,14,4201501,1,394.109319,548.91942399,3302.84
"19329",27,2704,1,270019098,4,1,1,42,1,4200201,1,394.109319,548.91942399,2485.6
"19330",27,2704,1,270019098,4,1,1,42,3,4200401,1,394.109319,548.91942399,2485.6
"19331",27,2704,1,270019098,4,1,2,29,37,2904501,1,394.109319,548.91942399,2485.6
"19332",27,2704,1,270019098,4,1,2,42,1,4200201,1,394.109319,548.91942399,2485.6
"19333",27,2704,1,270019098,4,1,2,42,3,4200401,1,394.109319,548.91942399,2485.6
"19334",27,2704,1,270019098,5,1,1,42,1,4200201,1,394.109319,548.91942399,1492.75
"19335",27,2704,1,270019098,5,1,1,42,9,4201001,1,394.109319,548.91942399,1492.75
"19336",27,2704,1,270019098,5,1,1,42,27,4202801,1,394.109319,548.91942399,1492.75
"19337",27,2704,1,270019098,5,1,2,42,1,4200201,1,394.109319,548.91942399,1492.75
"19338",27,2704,1,270019098,5,1,2,42,3,4200401,1,394.109319,548.91942399,1492.75
"19339",27,2704,1,270019098,5,1,2,42,16,4201701,1,394.109319,548.91942399,1492.75
"19340",27,2704,1,270019098,5,1,2,42,19,4202001,1,394.109319,548.91942399,1492.75
"19341",27,2704,1,270019098,6,1,1,42,1,4200201,1,394.109319,548.91942399,2833.27
"19342",27,2704,1,270019098,6,1,1,42,3,4200401,1,394.109319,548.91942399,2833.27
"19343",27,2704,1,270019098,7,1,1,42,1,4200201,1,394.109319,548.91942399,1575.02
"19344",27,2704,1,270019098,7,1,1,42,3,4200401,1,394.109319,548.91942399,1575.02
"19345",27,2704,1,270019098,7,1,2,42,1,4200201,1,394.109319,548.91942399,1575.02
"19346",27,2704,1,270019098,7,1,2,42,3,4200401,1,394.109319,548.91942399,1575.02
"19347",27,2704,1,270019098,7,1,3,42,1,4200201,1,394.109319,548.91942399,1575.02
"19348",27,2704,1,270019098,7,1,3,42,3,4200401,1,394.109319,548.91942399,1575.02
"19349",27,2704,1,270019098,9,1,1,29,2,2900301,2,394.109319,548.91942399,2561.33
"19350",27,2704,1,270019098,9,1,1,29,37,2904501,1,394.109319,548.91942399,2561.33
"19351",27,2704,1,270019098,9,1,1,42,6,4200701,2,394.109319,548.91942399,2561.33
"19352",27,2704,1,270019098,9,1,2,42,1,4200201,1,394.109319,548.91942399,2561.33
"19353",27,2704,1,270019098,9,1,2,42,3,4200401,1,394.109319,548.91942399,2561.33
"19354",27,2704,1,270019098,9,1,4,42,1,4200201,1,394.109319,548.91942399,2561.33
"19355",27,2704,1,270019098,9,1,4,42,3,4200401,1,394.109319,548.91942399,2561.33
"19356",27,2704,1,270019098,10,1,1,42,1,4200201,1,394.109319,548.91942399,2703.7
"19357",27,2704,1,270019098,10,1,1,42,3,4200401,1,394.109319,548.91942399,2703.7
"19358",27,2704,1,270019098,10,1,2,42,1,4200201,1,394.109319,548.91942399,2703.7
"19359",27,2704,1,270019098,10,1,2,42,3,4200401,1,394.109319,548.91942399,2703.7
"19360",27,2704,1,270019098,10,1,4,42,1,4200201,1,394.109319,548.91942399,2703.7
"19361",27,2704,1,270019098,10,1,4,42,3,4200401,1,394.109319,548.91942399,2703.7
"19362",27,2704,1,270019098,10,1,5,42,1,4200201,1,394.109319,548.91942399,2703.7
"19363",27,2704,1,270019098,10,1,5,42,3,4200401,1,394.109319,548.91942399,2703.7
"19364",27,2704,1,270019098,11,1,1,42,1,4200201,4,394.109319,548.91942399,15588.54
"19365",27,2704,1,270019098,13,1,1,29,0,2900101,2,394.109319,548.91942399,2489.56
"19366",27,2704,1,270019098,13,1,1,42,3,4200401,1,394.109319,548.91942399,2489.56
"19367",27,2704,1,270019098,13,1,1,42,9,4201001,1,394.109319,548.91942399,2489.56
"19368",27,2704,1,270019098,13,1,1,42,11,4201201,1,394.109319,548.91942399,2489.56
"19369",27,2704,1,270019098,13,1,2,42,1,4200201,1,394.109319,548.91942399,2489.56
"19370",27,2704,1,270019098,13,1,2,42,20,4202101,1,394.109319,548.91942399,2489.56
"19371",27,2704,1,270018697,1,1,1,42,1,4200201,1,361.28499853,503.20138025,566.14
"19372",27,2704,1,270018697,1,1,1,42,11,4201201,1,361.28499853,503.20138025,566.14
